"","NA.","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H"
"51",NA,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,0,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1,1,1,1,1,2,1,1,1,0,2,2,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,2,1,2,1,1,1,1,0,1,1,2,0,1,1,1,1
"52",NA,0,1,2,0,1,1,0,1,1,1,0,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,0,1,1,1,1,1,1,0,1,1,2,1,1,2,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,2,0
"53",NA,0,1,2,1,1,1,0,0,1,1,1,1,0,1,2,1,1,1,1,1,1,0,2,1,1,0,1,1,1,1,2,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,0,1,2,0,1,1,1,2,1,2,1,0,1,2,1,1,1,0,2,1,1,2,1,2,1,1,0,2,2,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"54",NA,1,1,1,1,1,1,1,0,1,0,1,1,0,0,2,1,1,0,0,2,1,1,1,1,0,0,1,1,2,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,2,1,1,1,1,1,0,0,1,1,1,1,0
"55",NA,1,1,1,1,2,1,1,0,0,1,1,2,0,0,2,2,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,2,1,1,1,1,2,2,1,1,1,1,1,0,1,1,1,1,1
"56",NA,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,2,2,1,1,0,2,1,1,1,1,1,1,1,1,1,1,0,1,2,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,2,0,0,0,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,2,1,1,1,1,1,1,1,0,2,1,2,1,1,0,1,1,0,1,1,1,1,0
"57",NA,1,1,1,0,2,1,0,0,1,1,1,2,1,0,1,1,1,0,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0,2,1,0,1,1,1,1,1,1,1,1,1,1,0,1,2,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,2,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0
"58",NA,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2,1,0,1,0,1,1,1,1,0,0,2,1,1,1,1,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,1,0,1,1,1,0,2,1,1,1,1,1,1,1,1,1,2,1,1,0,1,2,2,1,1,1,1,0,1,1,1,1,1,1
"59",NA,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,1,1,0,1,1,1,2,0,1,0,2,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,2,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,2,0,1,1,1,1,1,1,0,2,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0,1,1,2,1
"60",NA,1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,2,0,1,1,0,1,1,0,1,1,1,1,0,2,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,2,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,2,2,2,0,1,1,1,0,1,0,1,1,1,1
